drug,canonical_smiles,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
GDSC0,CC(=O)OC12COC1CC(O)C1(C)C(=O)C(O)C3=C(C)C(OC(=O)C(O)C(NC(=O)OC(C)(C)C)c4ccccc4)CC(O)(C(OC(=O)c4ccccc4)C21)C3(C)C,-1.348495,0.0075522615,-1.3216255,-0.1262992,-0.4586747,-0.0043179975,0.2666206,-0.007311322,0.02796126,-0.038475443,0.033300895,-0.049593072,0.018863544,-0.9550411,0.0782317,0.037038498,0.006671205,0.03185421,0.2421183,-0.87083364,-0.03159069,0.16395472,0.03349766,-0.47772908,-0.057145447,0.060326673,-0.009519167,-2.0174093,-0.86469537,0.03279105,0.011719942,-0.005339917,-0.013601386,-0.05352488,-0.019784577,0.01605443,-0.07762473,-0.0003947746,0.062286288,0.039690807,0.044394337,-0.034085054,1.4349782,0.03701355,-0.03606698,-0.051836282,0.03645476,0.010519236,1.6076918,-1.0861185,0.04581318,-0.63451666,-0.61688584,0.019928236,0.027703213,0.30852038,0.60550433,0.06375275,-0.0029321052,-0.031586524,0.16430798,-0.088004306,0.016953917,1.4544101,-0.016901866,-0.0005694702,-0.0017716587,-0.010195114,1.7121685,0.013701849,-0.5905401,0.009502348,-0.23137599,0.026783865,-0.015643854,0.026134178,0.97716784,-0.051466085,0.044853907,0.030373357,-0.01765342,-0.05424352,0.9634613,0.0479249,0.005544968,-0.02027506,-0.06927957,-0.023223802,-1.0142154,-0.02607249,-0.040553145,0.02601408,0.06323232,0.011824703,1.1845204,-0.0028031655,-3.2521517,-0.58643293,-0.011425058,0.0038252994,0.00032462925,-0.048889767,-1.0280432,0.0022693425,0.006845914,-0.14989997,-0.02484721,-0.009564729,0.018355815,-0.0046361983,-1.6649697,0.022832505,-0.020374134,0.8605118,-0.0113636535,0.060473,0.09535464,0.9647266,0.015606404,-0.0014525801,-0.009626638,-0.039491765,0.8127948,-0.051577553,-1.3747272,-0.01860821,-0.074536435,-0.078884676
GDSC1,CC12OC(CC1(O)CO)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)CNC4=O,-0.19032261,0.01748131,-0.6616529,0.35842317,-1.145541,-0.0014247736,-0.98811,0.040091973,0.0008175466,0.013981827,-0.014240578,0.018851176,-0.028765295,-0.90475905,-0.00838469,0.036751058,0.025068255,0.0038023256,-0.1742075,-1.803755,0.0037785433,-0.88960993,0.025604842,0.17266525,0.010994386,-0.0045390427,0.050698422,-0.1051061,1.2901357,-0.02405759,0.017401487,-0.024728484,-0.00152288,0.04012754,-0.01200638,-0.015389848,0.017617594,0.025132643,0.15431212,-0.041570906,-0.035869665,0.015095778,1.627458,-0.010680504,-0.036590304,-0.014963709,-0.020073801,-0.01054199,0.2799337,0.3708182,-0.0059331325,0.13366942,0.38187596,-0.03532704,-0.70624316,0.017432893,0.89288527,0.016105141,0.021778975,0.0039794347,1.1641991,-0.020807013,0.04096804,-1.1311679,-0.029227637,-0.0021561943,0.0019815955,0.00908665,-1.0864595,0.015411556,-0.4063464,-0.008210581,-1.3396653,-0.008963754,0.023854006,-0.033066742,-1.1903001,-0.0031367484,-0.00666892,0.0027539432,0.03399555,-4.0392103,-0.48222333,0.002393335,0.022114681,-0.2458077,-0.0121428445,0.023217361,0.077270195,0.0009989366,0.010471668,0.0003557389,0.0009094905,0.0078055672,0.030270733,0.022215666,-0.76379144,0.39664719,0.042178646,0.005750332,0.036866806,0.042879544,-0.20192298,-0.023631439,-0.049798794,-0.19198675,0.009869227,-0.01283868,0.008349106,0.045307584,1.000867,-0.0062962174,0.0074404376,0.37752944,-0.0016082837,0.015395097,0.006059261,0.37736523,0.012032087,0.008325569,-0.033869628,-0.00898873,-0.5199912,-0.049290657,-2.0446103,0.00037200912,0.0047069103,0.005943618
GDSC2,CN(C)CC=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OC1CCOC1,0.602249,0.010176869,0.2426748,0.36049354,1.5348598,-0.0046067517,-1.5356447,0.030553328,0.001072919,-0.028726313,-0.0053042825,0.010493621,-0.0056216493,-0.11908606,0.016949795,-1.0430813e-05,-0.009430494,0.03215942,-0.6815001,-0.8046403,0.008929957,0.4524207,-0.0028257682,-0.24722989,0.013287332,-0.01592375,0.034363173,-0.5237313,1.2044538,-0.010592073,0.012516081,-0.011084042,0.008141584,-0.004240183,0.011730254,0.018433444,-0.007944228,-0.011662174,-0.7399784,0.0044103363,-0.014979398,0.007832773,0.15822025,0.001489766,-0.03016425,0.021479815,-0.008185402,-0.022334069,-0.024671257,0.9453606,-0.02368692,-0.86999476,1.201867,-0.02289027,-1.3612077,0.7022209,-0.7033154,-0.023306128,0.018441115,-0.0071906107,0.63485587,-0.009235248,-0.012253275,1.0724626,0.0032795593,0.008002989,0.005080469,-0.0156136025,-0.55812365,-0.0009801313,-0.43695804,-0.008225936,-0.0407031,-0.0033548828,-0.0004274845,-0.00045176502,0.48275155,0.0030005425,-0.0019298714,-0.019718787,0.007961247,-1.7881411,-0.040400617,-0.0026683249,-0.0029705688,0.6036617,-0.006049713,0.020371145,-0.18015705,-0.0014226474,0.018756725,0.007459715,0.0033024363,0.008341679,-1.1515045,-0.03107727,-0.6761003,1.9294621,-0.0036423858,-0.008467063,0.021055855,0.007894143,0.5249081,0.009710927,-0.033885457,-1.1031252,0.0059507517,-0.00019527879,-0.007209856,0.01664583,-0.53342396,-0.004086353,0.0048048594,-0.49873525,-0.000779015,-0.008117519,0.012223443,2.0355935,-0.0137886545,0.0051506534,-0.006323781,0.0025261405,0.1857913,0.011609585,1.1330992,0.0048032664,0.0048145982,0.010487136
GDSC3,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1,0.1818587,-0.007444637,-1.1630231,-0.4575054,0.36607108,-0.02399639,0.58242375,-0.019159682,-0.007279858,-0.002693005,-0.01798471,0.00090147555,0.005748708,-0.09893569,0.005633764,0.0041423105,-0.00046301447,0.002655389,0.23635982,1.1284268,-0.0014561377,1.0604508,0.009269627,-0.63055116,6.213784e-05,0.013099603,0.007963948,-1.0917807,-0.3444826,-0.020151235,-0.0015857443,0.009012634,0.013587936,0.0066973306,0.0031256601,0.016709168,0.008160447,0.0036880989,-1.15476,0.0049700215,0.0014407597,-0.0027129948,-0.014362555,0.0034365207,0.008270791,-0.0031657666,0.00033579022,-0.008313745,0.021586046,-1.3945062,-0.015277879,0.5771098,-1.4680192,0.015169345,-0.5891372,0.24384037,-1.1967674,0.009411736,-0.0238854,0.0020396304,-0.64627343,0.023083553,0.00017995574,0.5000541,-0.004078664,-0.01688692,-0.0070831124,-0.00843988,-0.025871124,-0.00800468,-0.120324835,-0.0019634627,0.062067583,0.0029996391,0.010943193,-0.008830442,-0.041538462,-0.011707477,0.005319157,0.0110165365,-0.008680522,0.05774021,-0.3562141,-0.00826741,-0.011669889,0.15850142,-0.0022708979,-0.004623186,-0.20880832,0.012901425,0.008431986,-0.012839841,-0.002983423,0.011223428,1.4229844,-0.011468116,-0.8838098,-0.16415909,-0.0016108137,-0.0025035217,-0.016753264,-0.006368557,1.4614725,-0.0052591637,0.021159232,3.0633054,0.0043938486,-0.0014957832,0.012722023,-0.013367295,0.35377455,-0.011538744,0.010749189,-0.41029137,0.004228546,0.001758419,-0.019352173,-0.71999025,-0.0018977048,-9.942055e-05,0.02196166,-0.004651308,-0.04233892,0.009694157,-0.6219604,-0.0020868266,0.0041589565,-0.0136555405
GDSC4,Cn1cc(C2=C(c3ccc(Cl)cc3Cl)C(=O)NC2=O)c2ccccc21,-0.07501992,0.022583859,0.23906992,-0.556423,-0.33662271,0.0030931272,-0.04363837,-0.0041874656,-0.005915053,0.026690215,-0.006505791,0.011434652,-0.012331221,-0.036772765,0.002877444,-0.007533837,0.009789074,-0.0057902825,-0.32794115,-1.3385853,0.016301002,2.2326849,0.004926424,0.33572912,-0.007635854,-0.0026233392,-0.0020794794,-0.5488341,0.121713474,-0.0056083202,-0.028709501,-0.015194352,-0.019697625,-0.01232717,0.0027382523,0.012969527,0.0012511984,0.00750727,0.0521895,-0.0025271955,-0.0014352836,-0.0028406233,0.2426095,0.0027632192,0.0045910683,0.001960013,-0.00695239,-0.0051654726,-0.066658095,-0.14804748,0.005733834,-0.9445637,0.5962206,0.006035894,0.030349849,-0.32270303,0.31388086,-0.011172505,0.0004447177,-0.018439837,-0.024395788,0.0121760145,0.0065020565,-0.17802884,-0.0024508163,0.0030612722,-0.008072967,-0.00936741,-0.061373286,-0.01745341,-0.4231642,-0.007438164,0.21423417,0.003351722,0.009197753,-0.010412287,-0.114565864,-0.004552705,0.004970679,0.007558007,0.0021865256,0.8952795,-0.43724042,-0.012885228,-0.003057871,0.018570848,-0.002803659,0.012762526,0.18460527,0.0067662336,-0.00031597167,-0.0012097599,0.016048234,-0.012080787,1.1801167,0.024481118,0.37945428,-0.2432803,0.034717366,-0.010249104,0.011559865,0.00899924,-0.8983504,-0.0012597367,0.0025798753,1.3211108,0.01685054,0.004069536,0.007865366,-0.0036225654,0.05411111,-0.007369831,-0.005244716,0.7542859,-0.011438901,0.0018162131,-0.002372235,-0.14741307,0.010208239,0.011403777,-0.0057658553,0.031215137,-0.01995786,0.009501282,0.6364959,-0.0027886806,-0.0075582983,-0.009072442
GDSC5,NC(=O)c1ncn(C2OC(COP(=O)(O)O)C(O)C2O)c1N,0.2614248,0.014889502,-0.5012805,-0.06358321,1.3234138,-0.022864465,0.25265956,-0.007874379,-0.004253486,-0.0039428547,-0.006059885,-0.019880895,-0.0017104335,0.107981525,0.021148033,0.0005763173,0.006654637,-0.010620603,0.12784997,0.16515926,0.007324774,0.84022033,0.018538173,-0.28404075,0.0027202144,0.0017861892,0.009866551,-0.26563156,0.092673875,0.0051599666,0.0035624355,0.0105126,0.015112367,0.0027722903,0.025125995,0.03909134,0.015341811,-0.00912618,0.16873372,-0.017911755,-0.0051995106,0.008959696,0.46996412,-0.00868348,0.0003611315,0.01364281,0.0019779205,-0.002969049,-0.046377376,-1.050091,-0.0050372076,-1.3876104,0.5587168,-0.010170855,-1.1266527,-1.0854374,-0.40295368,-0.014799699,0.0027178526,-0.003009942,0.21386775,0.0054182485,-0.011689225,1.9895799,0.024173275,0.013367608,-0.01822756,-0.016027024,0.09003469,-1.0699034e-05,0.28385457,-0.007938456,0.22824824,-0.020625887,-0.0067100413,0.0079023475,0.5243084,-0.005705381,0.012888746,-0.0112536745,-0.0037611239,-0.07692642,-0.24910875,0.008276127,0.0048813187,0.27018765,-0.007038355,0.0071435682,0.27751315,0.0009839274,0.009744339,-0.011679183,0.013676215,0.00018607639,-0.47486296,-0.011007469,0.382776,0.55637866,-0.009647107,-0.0021584965,0.01332135,0.00020945445,-0.29648963,0.0053203925,-0.0066605136,0.82292736,0.017875131,0.0037872074,0.00048026443,-0.009025753,-0.20413963,-0.024747651,0.000332498,-0.5014993,-0.00455421,-0.0110705495,0.011568594,0.7856641,-0.0020513888,0.0062371492,0.0024142824,0.0225253,-0.17508996,0.032769445,0.239952,-0.0016972254,0.015584523,0.016572567
GDSC6,CS(=O)(=O)c1ccc(C(=O)Nc2ccc(Cl)c(-c3ccccn3)c2)c(Cl)c1,-0.19369729,0.012545925,0.19772732,0.7051482,0.17255972,0.0071275085,0.842939,0.009486891,-0.0036777481,-0.003678985,0.017391779,-0.006880425,0.007645689,-0.00059268624,0.009480059,0.00097058713,-0.004629989,-0.0065975734,-0.30812365,-0.52540064,-0.004363999,-1.3153635,0.014314715,0.5249797,0.007988058,0.0005209446,0.024327323,-1.7193866,0.45396692,0.013196789,0.001138892,0.0044852197,0.012392589,-0.002111433,0.0063031763,-0.022250112,-0.0039613936,-0.0041077808,0.75846493,0.0030158577,-0.01421553,0.0040061474,-0.28141704,0.011996083,-0.00993317,0.0013101473,0.0074062273,0.0027080849,0.037630368,1.829937,-0.010217259,-0.66923213,0.951719,-0.0017265677,-0.47754952,-0.008188975,0.3757695,-0.0013040304,0.005379621,-0.0047721723,-1.3055865,-0.0074778125,-0.009812863,0.8876116,-0.017606609,0.004981853,0.0071530566,-9.43318e-05,-0.1408242,0.0049300715,-0.474228,0.0075502396,0.08879275,-0.025270695,-0.021247935,0.0036077173,-0.08523716,-0.00046284683,0.006235634,-0.006481231,0.0021308996,-0.48977342,0.9173997,-0.000282906,0.020456383,-0.3467957,-0.009978943,0.004104508,-0.17074627,-0.016856484,-0.0021845698,0.019948239,-0.016879987,-0.011976732,-0.82850987,0.00010604411,0.27320892,0.7735762,0.0030334163,0.0029986314,0.0046727685,0.005055964,-0.19530365,-0.0011960417,-0.016359083,-0.37406135,0.007190314,-0.0029293504,0.0021654936,-0.018094487,-0.15645632,0.011110082,0.002423142,0.18934706,-0.005135423,0.008809522,0.014765605,-0.859494,-0.020525638,0.011695392,-0.01817764,0.0052905716,0.09121667,-0.005372625,-0.7671663,-0.0067171,-0.0038947621,0.0063236924
GDSC7,CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CC(=O)O,-0.4146213,0.03140064,1.5009716,-1.2637675,-0.06677496,-0.02503007,0.21195976,0.0005841905,-0.017689448,-0.0008267462,0.0146652125,0.0005376339,0.013455689,-0.017139975,-0.0011359379,0.027522909,0.006238727,-0.0057790806,-0.7506019,-0.40933937,0.01598801,-0.6776813,-0.0033505554,0.31971467,0.0005898252,0.0015313122,0.024470255,0.010902412,0.37020504,0.014934875,0.0050244406,0.009527219,0.0012413124,-0.005582163,0.018642336,-0.01087454,-0.0030491333,-0.021409411,-0.47100875,-0.021764299,0.0054322537,-0.012683656,0.20184788,-0.007098116,-0.010422042,0.020265382,0.015748627,-0.0007118061,0.13134794,0.027098048,-0.01422203,-0.83611757,-1.2623069,0.012290023,-0.9813829,-0.3124694,-0.98023206,-0.016776549,0.0055917725,0.015710417,0.13946491,-0.022402912,0.0040902924,0.72091216,-0.0044180155,0.013311915,-0.0012802463,-0.004681293,-0.22318211,0.028628409,1.5632526,0.0018347576,0.91355747,-0.017946178,-0.024249066,0.00090843067,-0.019693233,-0.004668532,-0.001769317,0.01202587,0.012770895,2.0580008,-0.08678897,0.002539035,-0.0028112717,1.2732825,-0.011782583,-0.00939092,0.14046021,-0.0003336668,-0.018500619,0.005500921,0.024309702,-0.010111766,-0.24898912,-0.007690031,-0.22299525,-0.3646118,-0.0038758721,-0.008420013,-0.008115914,0.004323993,0.7024341,0.010891087,0.0035643205,1.3126581,-0.0065667983,0.00014976785,-0.0027598832,0.007474765,-0.01209476,0.0031356364,-0.023075357,-0.64225405,0.006053669,-0.014066011,-0.014453584,2.0321255,-0.017019501,0.009018056,0.024401702,0.04132229,0.15379074,-0.0023901314,-2.0404098,-0.0023564869,0.017375717,0.00018766103
GDSC8,NC(=O)c1ccc(N(C(N)=O)c2c(F)cccc2F)nc1-c1ccc(F)cc1F,0.33638573,0.025324421,1.5551723,0.19407234,1.007306,-0.01750134,1.4870372,0.012773892,-0.0016095545,0.00017763674,-0.017627433,-0.021452855,-0.009495009,0.02848725,0.023580335,-0.0060599856,0.0052592754,-0.01240488,-1.1078647,1.608731,0.011051279,1.2794919,0.029183753,2.9897203,0.010151271,0.004833646,0.033362128,-0.21323419,-0.41750324,-0.0057626963,0.011825398,0.014762117,0.02310758,0.024126247,0.018966042,0.025631394,-0.0025234781,-0.016313089,0.94531,0.003219265,-0.008718578,0.006841004,0.4507374,0.0027283505,-0.02403946,0.0063047856,-0.011878386,-0.020860657,0.018428463,1.3876721,-0.002399155,-0.4503607,0.8588423,-0.0146832615,-1.5859115,-1.7246233,0.06920839,-0.010086511,-0.003212314,0.008646816,0.41706344,0.020421088,0.0060274117,0.1703992,0.0077080205,0.015903331,-0.03228852,-0.033424154,-0.19850749,0.0051170513,-1.2621541,0.0052467063,-0.22031096,-0.024696859,-0.023536425,0.015842691,-0.473935,-0.014066931,-0.0037001953,-0.01943508,0.0069710575,-0.41802585,0.64813584,1.8663704e-05,-0.0023341365,-0.054087423,-0.014070995,0.0010762252,0.26674858,0.0366657,0.01731809,-0.020383129,0.01732659,-0.0014231745,0.263653,-0.021729331,0.1415228,0.06985078,0.013684297,-0.008327037,0.020971376,0.0030409172,-0.91775924,0.0045562424,0.002746813,1.0738635,0.018129049,-0.00577029,-0.0018071355,-0.017065756,0.014982458,-0.008494914,0.011486064,-0.0080818655,-0.0077975406,0.018180098,-0.002607571,1.9419637,0.0067851404,0.00018998235,-0.008722097,0.025542052,-0.085837826,-0.00029714033,-0.40615302,0.006850805,0.010385735,0.024806298
GDSC9,O=C(CCCCCCC(=O)Nc1ccccc1)NO,0.02421217,0.0117176175,-0.65650594,-0.04404432,3.4457002,-0.0014656391,-0.34337702,-0.009474932,0.0011647195,-0.001155667,0.0005275551,-0.0146651715,-0.0118892975,-0.023638956,-0.009489812,-0.022830766,-0.0031583793,0.0035707373,0.04502839,-0.20117885,-0.005398892,0.5817404,-0.009198341,0.48863333,-0.005679406,-0.014346706,-0.024942782,0.10943927,-0.119206816,-0.006737262,-0.0031389892,-0.0065160096,-0.006734901,-0.013197957,0.0013473853,-0.0041943416,-0.002586389,0.004157681,-0.95775896,-0.008731414,-0.0015003346,0.0076308995,-0.02618577,0.0032880232,0.011103077,0.012319265,0.005669214,0.0006298721,-0.062015247,0.8907267,0.0060357642,0.12138891,0.07763866,-0.011918493,0.2883433,-0.009427732,0.26677033,-0.02599546,-0.0056282766,-0.0032299235,0.0093024215,0.009952463,0.010310212,-0.008856416,-0.020896465,0.015826888,0.014837797,0.0043297783,0.094303295,0.0030603409,1.9523673,-0.0021693371,0.12789676,0.004755946,-0.018447246,-0.0015248079,0.012128577,0.002173734,-0.017364243,-0.0015565678,-0.011007044,-0.23778297,1.210179,0.0003409274,-0.002027344,1.0782723,0.0026402269,-0.012365155,-0.17188297,-0.01792832,-0.004600968,0.013586531,-0.00010794029,-0.010568222,-0.31921038,0.006077474,1.4573809,-0.2362249,0.007072674,-0.010912351,-0.021515647,0.0070023276,1.0306776,0.0057424866,0.0076463073,-0.20527838,-0.005668463,0.0077445945,0.006403923,-0.004139565,0.061790023,0.007064864,0.011790527,0.10183665,-0.0016530785,-0.0009771287,-0.0054625086,-0.36308792,-0.0010226453,-0.01799903,0.026579024,0.010904261,0.00061278604,0.0037202574,1.1175113,0.013704403,0.0003534397,0.004512757
